project_id,parcel_id,project_name,project_type,state,district,land_area_acres,affected_families,ownership_complexity,documentation_completeness,legal_dispute,compensation_status,compensation_pending_days,notification_status,approval_status,approval_processing_days,rehabilitation_progress,possession_status,stakeholder_responsiveness,administrative_processing_days,historical_delay_rate,planned_completion_date,actual_completion_date,delay_days,delay_status,latitude,longitude,geom_wkt,legal_dispute_bool
PRJ-1061,PCL-10011,Kota Ultra Mega Solar Park Unit 3,Renewable / Solar Park,Rajasthan,Kota,26.8,71,Medium,0.87,0,Fully Disbursed,0,Award Declared (Sec 23),Conditional Clearance,178,0.66,Substantial Possession (>70%),Moderate,138,0.214,2026-08-16,2026-09-01,16,0,27.336269,75.500551,SRID=4326;POINT(75.500551 27.336269),False
PRJ-1134,PCL-10012,Tamil Nadu Inter-River Linking Canal Sector 2,Irrigation / Water Canal,Tamil Nadu,Kanchipuram,65.7,85,High,0.46,1,Pending Disbursal,194,Award Declared (Sec 23),Approved,88,0.59,Full Possession,Low / Resistant,158,0.524,2026-05-04,2028-02-01,638,1,10.772792,79.786717,SRID=4326;POINT(79.786717 10.772792),True
PRJ-1009,PCL-10013,Kutch Lift Irrigation Main Canal Reach 5,Irrigation / Water Canal,Gujarat,Kutch,52.29,83,Medium,0.71,0,Fully Disbursed,0,Declaration Published (Sec 19),Under Scrutiny,75,0.89,Partial Possession (30-70%),High / Cooperative,169,0.33,2024-05-15,2024-06-10,26,0,21.806245,73.162936,SRID=4326;POINT(73.162936 21.806245),False
PRJ-1132,PCL-10014,Tamil Nadu Green Express Corridor Phase 2,Highway / Expressway,Tamil Nadu,Tiruchirappalli,13.98,16,Medium,0.46,0,Fully Disbursed,0,Declaration Published (Sec 19),Conditional Clearance,123,0.8,Substantial Possession (>70%),High / Cooperative,351,0.653,2024-07-28,2024-08-08,11,0,12.145426,78.564725,SRID=4326;POINT(78.564725 12.145426),False
PRJ-1031,PCL-10015,Command Area Distribution Network 1,Irrigation / Water Canal,Maharashtra,Aurangabad,135.96,106,High,0.42,1,Partially Disbursed,89,Preliminary Notification (Sec 11),Conditional Clearance,121,0.53,Full Possession,High / Cooperative,30,0.566,2023-05-22,2024-02-13,267,1,19.569439,78.420038,SRID=4326;POINT(78.420038 19.569439),True
PRJ-1192,PCL-10016,Karnataka Clean Energy Hub Sector 1,Renewable / Solar Park,Karnataka,Mysuru,12.2,36,High,0.57,1,Pending Disbursal,300,Preliminary Notification (Sec 11),Approved,52,0.4,Contested / Encroached,Low / Resistant,220,0.305,2025-06-18,2026-09-08,447,1,12.846206,76.590731,SRID=4326;POINT(76.590731 12.846206),True
PRJ-1258,PCL-10017,Odisha Integrated Industrial Township 2,Industrial Corridor / SEZ,Odisha,Cuttack,182.44,298,Very High,0.61,1,Partially Disbursed,79,Notification Pending,Under Scrutiny,183,0.75,Contested / Encroached,High / Cooperative,279,0.548,2024-03-08,2025-01-02,300,1,21.664209,85.869889,SRID=4326;POINT(85.869889 21.664209),True
PRJ-1204,PCL-10018,Gujarat Inter-River Linking Canal Sector 3,Irrigation / Water Canal,Gujarat,Bharuch,21.15,32,Low,0.95,0,Pending Disbursal,131,Preliminary Notification (Sec 11),Approved,97,0.64,Substantial Possession (>70%),Moderate,282,0.131,2024-09-18,2024-10-10,22,0,21.279156,73.27091,SRID=4326;POINT(73.27091 21.279156),False
PRJ-1029,PCL-10019,Jodhpur Cargo Terminal Expansion 1,Airport Infrastructure,Rajasthan,Jodhpur,35.79,64,High,0.33,1,Disputed in Escrow,228,Notification Pending,Pending Environmental Clearance,114,0.72,Partial Possession (30-70%),Low / Resistant,139,0.483,2025-10-10,2027-01-24,471,1,26.851692,75.196786,SRID=4326;POINT(75.196786 26.851692),True
PRJ-1244,PCL-10020,Aviation Logistics Runway Package 3,Airport Infrastructure,Karnataka,Mysuru,21.09,65,Low,0.8,0,Fully Disbursed,0,Award Declared (Sec 23),Approved,16,0.34,Full Possession,Moderate,184,0.322,2025-11-23,2026-02-22,91,1,13.878366,77.50731,SRID=4326;POINT(77.50731 13.878366),False
PRJ-1204,PCL-10021,Gujarat Inter-River Linking Canal Sector 3,Irrigation / Water Canal,Gujarat,Bharuch,31.86,54,Medium,0.79,0,Partially Disbursed,128,Declaration Published (Sec 19),Conditional Clearance,168,0.39,Partial Possession (30-70%),Moderate,291,0.451,2024-09-18,2025-08-22,338,1,23.743737,70.366818,SRID=4326;POINT(70.366818 23.743737),False
PRJ-1178,PCL-10022,Andhra Pradesh Dedicated High-Speed Rail Segment 3,Railway & Freight Corridor,Andhra Pradesh,Guntur,30.3,61,Low,0.41,0,Fully Disbursed,0,Award Declared (Sec 23),Approved,15,0.54,Full Possession,Low / Resistant,335,0.813,2023-09-10,2023-09-25,15,0,14.286264,80.191732,SRID=4326;POINT(80.191732 14.286264),False
PRJ-1252,PCL-10023,Maharashtra Clean Energy Hub Sector 5,Renewable / Solar Park,Maharashtra,Solapur,8.41,20,Low,0.52,0,Partially Disbursed,105,Declaration Published (Sec 19),Conditional Clearance,174,0.45,Full Possession,Moderate,270,0.416,2025-08-12,2025-12-03,113,1,18.711601,76.589441,SRID=4326;POINT(76.589441 18.711601),False
PRJ-1079,PCL-10024,Haryana Inter-River Linking Canal Sector 3,Irrigation / Water Canal,Haryana,Hisar,92.03,76,Low,0.61,0,Fully Disbursed,0,Declaration Published (Sec 19),Approved,70,0.8,Substantial Possession (>70%),High / Cooperative,180,0.503,2026-10-18,2026-10-18,0,0,29.825173,76.151689,SRID=4326;POINT(76.151689 29.825173),False
PRJ-1053,PCL-10025,Haryana Clean Energy Hub Sector 5,Renewable / Solar Park,Haryana,Hisar,12.85,2,Medium,0.58,0,Fully Disbursed,0,Possession Taken (Sec 38),Conditional Clearance,147,0.65,Partial Possession (30-70%),High / Cooperative,99,0.797,2025-07-20,2026-01-15,179,1,28.113029,76.222437,SRID=4326;POINT(76.222437 28.113029),False
PRJ-1125,PCL-10026,Bharatmala Economic Highway Ring 1,Highway / Expressway,Uttar Pradesh,Prayagraj,15.61,14,Low,0.3,0,Fully Disbursed,0,Possession Taken (Sec 38),Approved,40,0.42,Full Possession,Moderate,30,0.485,2026-01-26,2026-02-24,29,0,26.994665,78.965748,SRID=4326;POINT(78.965748 26.994665),False
PRJ-1127,PCL-10027,Suburban Commuter Rapid Transit Line 2,Urban Metro / Transit,Andhra Pradesh,Kurnool,30.27,95,Medium,0.66,1,Pending Disbursal,284,Award Declared (Sec 23),Approved,35,0.62,Partial Possession (30-70%),High / Cooperative,199,0.74,2026-05-05,2026-11-26,205,1,17.221958,80.479432,SRID=4326;POINT(80.479432 17.221958),True
PRJ-1070,PCL-10028,Command Area Distribution Network 1,Irrigation / Water Canal,Rajasthan,Jaipur,38.97,55,Medium,0.74,0,Fully Disbursed,0,Possession Taken (Sec 38),Resubmission Required,149,0.46,Partial Possession (30-70%),High / Cooperative,296,0.297,2025-08-31,2025-09-21,21,0,25.371915,74.608946,SRID=4326;POINT(74.608946 25.371915),False
PRJ-1202,PCL-10029,Andhra Pradesh Clean Energy Hub Sector 5,Renewable / Solar Park,Andhra Pradesh,Guntur,16.44,4,Very High,0.93,0,Fully Disbursed,0,Possession Taken (Sec 38),Pending Environmental Clearance,116,0.51,Full Possession,Moderate,139,0.591,2024-12-08,2024-12-31,23,0,15.656068,82.617129,SRID=4326;POINT(82.617129 15.656068),False
PRJ-1036,PCL-10030,Bharatmala Economic Highway Ring 2,Highway / Expressway,Haryana,Gurugram,40.04,50,Medium,0.73,0,Partially Disbursed,138,Possession Taken (Sec 38),Approved,15,0.97,Contested / Encroached,Moderate,80,0.496,2024-05-20,2024-08-28,100,1,30.015517,77.061748,SRID=4326;POINT(77.061748 30.015517),False
PRJ-1206,PCL-10031,Haryana Inter-River Linking Canal Sector 3,Irrigation / Water Canal,Haryana,Faridabad,41.03,96,Medium,0.68,0,Partially Disbursed,167,Notification Pending,Under Scrutiny,194,0.96,Full Possession,High / Cooperative,142,0.26,2025-07-08,2025-08-03,26,0,29.332482,77.304642,SRID=4326;POINT(77.304642 29.332482),False
PRJ-1182,PCL-10032,Western Freight Corridor Spur Line 4,Railway & Freight Corridor,Karnataka,Kalaburagi,48.93,81,Medium,0.69,0,Fully Disbursed,0,Possession Taken (Sec 38),Approved,59,0.41,Full Possession,Moderate,152,0.414,2026-02-12,2026-07-03,141,1,13.365059,76.510569,SRID=4326;POINT(76.510569 13.365059),False
PRJ-1114,PCL-10033,NH-63 Four-Laning Bypass Section 3,Highway / Expressway,Odisha,Sundargarh,16.86,15,Medium,0.59,0,Fully Disbursed,0,Preliminary Notification (Sec 11),Approved,65,0.71,Initial Stage (<30%),Moderate,231,0.227,2026-10-05,2027-01-04,91,1,20.709024,85.106062,SRID=4326;POINT(85.106062 20.709024),False
PRJ-1073,PCL-10034,Bharatmala Economic Highway Ring 1,Highway / Expressway,Uttar Pradesh,Noida,110.81,191,High,0.55,1,Disputed in Escrow,411,Award Declared (Sec 23),Approved,83,0.61,Full Possession,Moderate,120,0.651,2026-02-11,,432,1,26.234317,79.90256,SRID=4326;POINT(79.90256 26.234317),True
PRJ-1176,PCL-10035,Wind-Solar Hybrid Energy Grid 4,Renewable / Solar Park,Uttar Pradesh,Noida,64.62,49,Very High,0.88,1,Partially Disbursed,173,Possession Taken (Sec 38),Resubmission Required,168,0.62,Partial Possession (30-70%),Moderate,125,0.352,2023-06-07,2024-05-08,336,1,27.253098,81.706552,SRID=4326;POINT(81.706552 27.253098),True
PRJ-1095,PCL-10036,Jaipur Lift Irrigation Main Canal Reach 3,Irrigation / Water Canal,Rajasthan,Jaipur,79.47,80,Medium,0.7,0,Fully Disbursed,0,Preliminary Notification (Sec 11),Conditional Clearance,98,0.69,Full Possession,Low / Resistant,187,0.247,2025-01-11,2025-01-30,19,0,24.870102,74.928117,SRID=4326;POINT(74.928117 24.870102),False
PRJ-1033,PCL-10037,Bharatmala Economic Highway Ring 2,Highway / Expressway,Karnataka,Dharwad,5.0,6,Medium,0.58,0,Partially Disbursed,155,Notification Pending,Resubmission Required,118,0.76,Full Possession,High / Cooperative,163,0.168,2023-12-06,2024-04-14,130,1,15.379005,77.108408,SRID=4326;POINT(77.108408 15.379005),False
PRJ-1201,PCL-10038,Odisha Integrated Industrial Township 2,Industrial Corridor / SEZ,Odisha,Khurda,100.57,157,High,0.7,1,Pending Disbursal,133,Declaration Published (Sec 19),Approved,15,0.59,Partial Possession (30-70%),Hostile / Legal Injunction,202,0.498,2024-08-23,2025-11-03,437,1,21.076212,84.989397,SRID=4326;POINT(84.989397 21.076212),True
PRJ-1192,PCL-10039,Karnataka Clean Energy Hub Sector 1,Renewable / Solar Park,Karnataka,Mysuru,18.49,23,Low,0.87,0,Partially Disbursed,74,Notification Pending,Approved,110,0.35,Full Possession,High / Cooperative,183,0.435,2025-06-18,2025-08-17,60,0,15.947839,76.18464,SRID=4326;POINT(76.18464 15.947839),False
PRJ-1028,PCL-10040,Command Area Distribution Network 1,Irrigation / Water Canal,Gujarat,Ahmedabad,12.27,9,Low,0.96,0,Partially Disbursed,134,Possession Taken (Sec 38),Approved,43,0.35,Partial Possession (30-70%),High / Cooperative,393,0.85,2024-07-23,2024-12-19,149,1,23.560014,73.238105,SRID=4326;POINT(73.238105 23.560014),False
PRJ-1043,PCL-10041,Salem Greenfield International Airport Phase 3,Airport Infrastructure,Tamil Nadu,Salem,23.7,38,Low,0.69,0,Partially Disbursed,174,Possession Taken (Sec 38),Under Scrutiny,214,0.94,Full Possession,High / Cooperative,101,0.185,2024-10-31,2025-01-30,91,1,11.472353,79.517231,SRID=4326;POINT(79.517231 11.472353),False
PRJ-1188,PCL-10042,Andhra Pradesh Dedicated High-Speed Rail Segment 3,Railway & Freight Corridor,Andhra Pradesh,Krishna,10.51,22,Medium,0.68,0,Partially Disbursed,93,Award Declared (Sec 23),Pending Environmental Clearance,157,0.88,Full Possession,High / Cooperative,66,0.751,2025-03-19,2025-08-07,141,1,16.434991,81.758253,SRID=4326;POINT(81.758253 16.434991),False
PRJ-1045,PCL-10043,Uttar Pradesh Clean Energy Hub Sector 2,Renewable / Solar Park,Uttar Pradesh,Prayagraj,40.21,69,Low,0.78,0,Fully Disbursed,0,Notification Pending,Under Scrutiny,79,0.73,Full Possession,Moderate,262,0.578,2024-12-29,,160,1,26.542838,83.417371,SRID=4326;POINT(83.417371 26.542838),False
PRJ-1106,PCL-10044,Madhya Pradesh Green Express Corridor Phase 1,Highway / Expressway,Madhya Pradesh,Jabalpur,63.65,91,Medium,0.68,0,Fully Disbursed,0,Notification Pending,Approved,15,0.56,Initial Stage (<30%),High / Cooperative,203,0.32,2023-05-03,2023-05-17,14,0,25.593938,78.698476,SRID=4326;POINT(78.698476 25.593938),False
PRJ-1049,PCL-10045,Odisha Inter-River Linking Canal Sector 4,Irrigation / Water Canal,Odisha,Angul,35.76,39,Low,0.72,0,Partially Disbursed,63,Declaration Published (Sec 19),Approved,52,0.89,Full Possession,High / Cooperative,216,0.706,2023-01-29,2023-04-30,91,1,19.902531,86.075254,SRID=4326;POINT(86.075254 19.902531),False
PRJ-1202,PCL-10046,Andhra Pradesh Clean Energy Hub Sector 5,Renewable / Solar Park,Andhra Pradesh,Guntur,102.26,122,Medium,0.91,0,Pending Disbursal,137,Possession Taken (Sec 38),Under Scrutiny,109,0.84,Full Possession,High / Cooperative,107,0.184,2024-12-08,2024-12-28,20,0,16.203618,80.879385,SRID=4326;POINT(80.879385 16.203618),False
PRJ-1250,PCL-10047,Andhra Pradesh Integrated Industrial Township 5,Industrial Corridor / SEZ,Andhra Pradesh,Guntur,31.83,58,Medium,0.52,0,Partially Disbursed,121,Preliminary Notification (Sec 11),Conditional Clearance,128,0.6,Substantial Possession (>70%),Moderate,330,0.386,2026-08-26,2026-09-03,8,0,15.490073,78.062118,SRID=4326;POINT(78.062118 15.490073),False
PRJ-1254,PCL-10048,NH-50 Four-Laning Bypass Section 4,Highway / Expressway,Andhra Pradesh,Krishna,48.29,48,Medium,0.46,0,Fully Disbursed,0,Preliminary Notification (Sec 11),Approved,56,0.77,Substantial Possession (>70%),Moderate,218,0.599,2026-03-16,,10,0,15.231562,82.108884,SRID=4326;POINT(82.108884 15.231562),False
PRJ-1081,PCL-10049,Industrial Rail Siding Network 4,Railway & Freight Corridor,Karnataka,Bengaluru Rural,32.25,76,Low,0.62,0,Partially Disbursed,70,Award Declared (Sec 23),Approved,118,0.72,Substantial Possession (>70%),Moderate,279,0.772,2025-10-07,2026-06-22,258,1,14.712301,74.552163,SRID=4326;POINT(74.552163 14.712301),False
PRJ-1085,PCL-10050,Command Area Distribution Network 2,Irrigation / Water Canal,Andhra Pradesh,Visakhapatnam,84.39,147,High,0.82,1,Partially Disbursed,84,Possession Taken (Sec 38),Approved,52,0.48,Initial Stage (<30%),Moderate,95,0.252,2024-09-24,2025-06-30,279,1,14.277864,81.115461,SRID=4326;POINT(81.115461 14.277864),True
PRJ-1228,PCL-10051,Udaipur Metro Rail Extension Corridor 1,Urban Metro / Transit,Rajasthan,Udaipur,40.43,165,Very High,0.66,1,Partially Disbursed,128,Preliminary Notification (Sec 11),Conditional Clearance,121,0.91,Substantial Possession (>70%),Moderate,162,0.331,2024-06-01,2025-07-05,399,1,24.090863,75.154023,SRID=4326;POINT(75.154023 24.090863),True
PRJ-1154,PCL-10052,Command Area Distribution Network 2,Irrigation / Water Canal,Maharashtra,Pune,31.42,47,Low,0.94,1,Pending Disbursal,94,Notification Pending,Under Scrutiny,176,0.79,Partial Possession (30-70%),Hostile / Legal Injunction,351,0.276,2026-01-19,2027-01-29,375,1,18.447675,78.000147,SRID=4326;POINT(78.000147 18.447675),True
PRJ-1078,PCL-10053,Salem Greenfield International Airport Phase 1,Airport Infrastructure,Tamil Nadu,Salem,27.3,76,Low,0.35,1,Partially Disbursed,128,Award Declared (Sec 23),Resubmission Required,203,0.51,Partial Possession (30-70%),Hostile / Legal Injunction,152,0.415,2026-08-13,2028-01-09,514,1,12.67764,78.959836,SRID=4326;POINT(78.959836 12.67764),True
PRJ-1044,PCL-10054,Urban Flyover & Transit Hub 2,Urban Metro / Transit,Madhya Pradesh,Jabalpur,10.54,38,Low,0.75,1,Disputed in Escrow,628,Award Declared (Sec 23),Approved,15,0.63,Initial Stage (<30%),Low / Resistant,250,0.581,2023-04-08,2024-04-17,375,1,23.141935,78.896394,SRID=4326;POINT(78.896394 23.141935),True
PRJ-1201,PCL-10055,Odisha Integrated Industrial Township 2,Industrial Corridor / SEZ,Odisha,Khurda,33.02,43,Very High,0.72,1,Pending Disbursal,126,Notification Pending,Pending Environmental Clearance,138,0.7,Full Possession,Low / Resistant,328,0.755,2024-08-23,2025-12-28,492,1,20.318409,84.197337,SRID=4326;POINT(84.197337 20.318409),True
PRJ-1163,PCL-10056,Uttar Pradesh Integrated Industrial Township 3,Industrial Corridor / SEZ,Uttar Pradesh,Agra,19.74,33,Medium,0.82,0,Pending Disbursal,127,Preliminary Notification (Sec 11),Under Scrutiny,233,0.56,Full Possession,Moderate,227,0.556,2026-04-29,2026-10-27,181,1,25.498742,82.698396,SRID=4326;POINT(82.698396 25.498742),False
PRJ-1204,PCL-10057,Gujarat Inter-River Linking Canal Sector 3,Irrigation / Water Canal,Gujarat,Bharuch,25.63,37,Medium,0.83,1,Pending Disbursal,168,Award Declared (Sec 23),Approved,49,0.82,Substantial Possession (>70%),Moderate,188,0.591,2024-09-18,2024-10-20,32,0,22.519171,71.815711,SRID=4326;POINT(71.815711 22.519171),True
PRJ-1080,PCL-10058,Belagavi Cargo Terminal Expansion 3,Airport Infrastructure,Karnataka,Belagavi,55.58,177,Very High,0.95,1,Disputed in Escrow,553,Declaration Published (Sec 19),Approved,104,0.69,Substantial Possession (>70%),Low / Resistant,151,0.847,2026-02-11,2027-05-05,448,1,15.178312,75.800341,SRID=4326;POINT(75.800341 15.178312),True
PRJ-1029,PCL-10059,Jodhpur Cargo Terminal Expansion 1,Airport Infrastructure,Rajasthan,Jodhpur,32.45,125,Low,0.81,0,Fully Disbursed,0,Award Declared (Sec 23),Under Scrutiny,196,0.47,Partial Possession (30-70%),Moderate,216,0.802,2025-10-10,,44,0,25.410876,75.425992,SRID=4326;POINT(75.425992 25.410876),False
PRJ-1065,PCL-10060,Karnal Multi-Modal Logistics Park 3,Industrial Corridor / SEZ,Haryana,Karnal,22.31,23,Low,0.8,1,Pending Disbursal,358,Preliminary Notification (Sec 11),Approved,60,0.7,Contested / Encroached,Low / Resistant,242,0.395,2027-01-28,2028-01-27,364,1,29.849463,77.209574,SRID=4326;POINT(77.209574 29.849463),True
PRJ-1185,PCL-10061,Bhopal Ultra Mega Solar Park Unit 2,Renewable / Solar Park,Madhya Pradesh,Bhopal,59.27,52,Low,0.79,0,Partially Disbursed,59,Declaration Published (Sec 19),Conditional Clearance,144,0.85,Full Possession,Moderate,156,0.505,2026-11-26,,21,0,22.293932,80.549903,SRID=4326;POINT(80.549903 22.293932),False
PRJ-1024,PCL-10062,Industrial Rail Siding Network 5,Railway & Freight Corridor,Karnataka,Kalaburagi,39.41,40,High,0.76,1,Disputed in Escrow,559,Possession Taken (Sec 38),Approved,89,0.86,Partial Possession (30-70%),Hostile / Legal Injunction,348,0.722,2026-08-23,2028-02-13,539,1,14.861646,75.775534,SRID=4326;POINT(75.775534 14.861646),True
PRJ-1040,PCL-10063,DMIC Special Investment Region Node 1,Industrial Corridor / SEZ,Tamil Nadu,Madurai,31.46,51,Low,0.68,0,Fully Disbursed,0,Possession Taken (Sec 38),Approved,73,0.35,Substantial Possession (>70%),High / Cooperative,195,0.281,2025-05-05,2025-05-08,3,0,11.493222,77.420143,SRID=4326;POINT(77.420143 11.493222),False
PRJ-1168,PCL-10064,Aviation Logistics Runway Package 3,Airport Infrastructure,Haryana,Panipat,10.46,38,Low,0.87,0,Fully Disbursed,0,Award Declared (Sec 23),Under Scrutiny,122,0.8,Substantial Possession (>70%),Moderate,305,0.355,2026-05-13,,0,0,28.257325,76.417818,SRID=4326;POINT(76.417818 28.257325),False
PRJ-1126,PCL-10065,Uttar Pradesh Clean Energy Hub Sector 4,Renewable / Solar Park,Uttar Pradesh,Lucknow,75.04,71,Medium,0.75,0,Fully Disbursed,0,Award Declared (Sec 23),Approved,33,0.33,Partial Possession (30-70%),Moderate,225,0.493,2024-09-28,2024-11-10,43,0,25.561926,83.084947,SRID=4326;POINT(83.084947 25.561926),False
PRJ-1158,PCL-10066,Urban Flyover & Transit Hub 3,Urban Metro / Transit,Haryana,Karnal,9.43,12,Medium,0.81,0,Partially Disbursed,53,Preliminary Notification (Sec 11),Pending Environmental Clearance,86,0.45,Initial Stage (<30%),High / Cooperative,203,0.222,2023-09-14,2023-09-30,16,0,28.299478,76.556648,SRID=4326;POINT(76.556648 28.299478),False
PRJ-1191,PCL-10067,Haryana Green Express Corridor Phase 4,Highway / Expressway,Haryana,Karnal,36.52,56,Medium,0.71,0,Partially Disbursed,45,Possession Taken (Sec 38),Under Scrutiny,122,0.35,Full Possession,Moderate,152,0.106,2024-06-27,2024-10-24,119,1,29.150299,76.971009,SRID=4326;POINT(76.971009 29.150299),False
PRJ-1162,PCL-10068,Suburban Commuter Rapid Transit Line 4,Urban Metro / Transit,Haryana,Karnal,184.22,545,Medium,0.79,0,Pending Disbursal,159,Notification Pending,Approved,22,0.33,Full Possession,High / Cooperative,209,0.347,2023-05-29,2023-07-25,57,0,30.272501,76.29661,SRID=4326;POINT(76.29661 30.272501),False
PRJ-1161,PCL-10069,Andhra Pradesh Integrated Industrial Township 1,Industrial Corridor / SEZ,Andhra Pradesh,Visakhapatnam,126.74,240,Medium,0.54,0,Fully Disbursed,0,Declaration Published (Sec 19),Conditional Clearance,119,0.86,Full Possession,High / Cooperative,40,0.471,2023-06-19,2023-08-07,49,0,15.838655,80.67603,SRID=4326;POINT(80.67603 15.838655),False
PRJ-1021,PCL-10070,Karnataka Integrated Industrial Township 3,Industrial Corridor / SEZ,Karnataka,Belagavi,12.58,24,Medium,0.74,1,Fully Disbursed,0,Award Declared (Sec 23),Approved,40,0.28,Contested / Encroached,Low / Resistant,106,0.45,2025-09-25,2026-07-02,280,1,13.603602,77.291034,SRID=4326;POINT(77.291034 13.603602),True
PRJ-1232,PCL-10071,Maharashtra Inter-River Linking Canal Sector 4,Irrigation / Water Canal,Maharashtra,Nagpur,87.4,69,Low,0.83,0,Fully Disbursed,0,Declaration Published (Sec 19),Approved,15,0.23,Partial Possession (30-70%),Moderate,243,0.461,2026-08-29,2027-03-22,205,1,19.662266,76.570774,SRID=4326;POINT(76.570774 19.662266),False
PRJ-1044,PCL-10072,Urban Flyover & Transit Hub 2,Urban Metro / Transit,Madhya Pradesh,Jabalpur,64.77,245,Low,0.62,0,Fully Disbursed,0,Declaration Published (Sec 19),Approved,46,0.63,Partial Possession (30-70%),High / Cooperative,226,0.673,2023-04-08,2023-05-19,41,0,24.612225,76.706452,SRID=4326;POINT(76.706452 24.612225),False
PRJ-1063,PCL-10073,Western Freight Corridor Spur Line 2,Railway & Freight Corridor,Uttar Pradesh,Varanasi,100.7,93,Medium,0.89,0,Fully Disbursed,0,Possession Taken (Sec 38),Approved,66,0.51,Full Possession,Moderate,130,0.35,2023-06-17,2023-09-16,91,1,25.195167,80.539373,SRID=4326;POINT(80.539373 25.195167),False
PRJ-1144,PCL-10074,Urban Flyover & Transit Hub 5,Urban Metro / Transit,Uttar Pradesh,Noida,53.51,183,High,0.88,1,Disputed in Escrow,425,Preliminary Notification (Sec 11),Approved,20,0.55,Partial Possession (30-70%),Low / Resistant,148,0.488,2026-01-13,2027-06-04,507,1,26.566439,78.85261,SRID=4326;POINT(78.85261 26.566439),True
